TEX10	0.0193611963050713
SLC7A7	0.00643709234359972
SEPT3	0.0176258717209003
CCNL2	0
GMCL1	0.00511890828266464
GYG2	0.00209607338736816
RPLP2	0.960887878113925
FAM43A	0.00199719626252561
CENPE	0.0126778420071234
ACP2	0.00233620378106135
MC4R	0.00265689327904935
C2orf88	0.0371128198013638
RAPGEF2	0
LPIN3	0.00070927062234933
HCFC1	0.0254528036948764
ZNHIT1	0.129025705120996
CACNG1	0.00152196876594305
GTF2H3	0.00132684894626943
CFAP61	0.00238541613892835
ZNF787	0.0335250869714292
EME1	0.00667045045063317
STX16	0.000278832499532665
CEP120	0.0122294816557049
ESR1	0.0140061757769891
XPC	0.0831287505201005
GRIN1	0.00513643070641013
PRB1	0.00138848270745801
CCDC27	0.0029487913898845
LHFP	0
DPM3	0.0593387254591158
GLIS1	7.11215374442464e-05
C8orf22	0.000278832499532665
ATL2	0
FAM189A2	0
NOP2	0.00982595657844545
KIF9	0
MRGPRX3	0
SMNDC1	0.0293943985547857
CCDC43	0.0430123679453128
CDC42EP3	0
STX18	0.0408851890137981
ABHD18	0
CD300C	0.00152196876594305
ZNF837	0.00127343063864006
OTOR	0.00152196876594305
ZNF589	0.0129290718088297
STX19	0.00114065234870737
RP3-369A17.6	0.00223122489046836
CD244	0.000278832499532665
THPO	0
CXorf36	0.117346352988068
FN3KRP	0.0611742854567631
FNDC3B	0.0269809997302778
ANKRD16	0.0013043315844697
NRG1	0.0360478691073548
UBL5	0.195144141398379
DGCR8	0.0112570788192201
CCNK	0.0595778289475592
BUB1	0.00515473688454009
SPTBN5	0
VPS37B	0.0101554788755272
SUN5	0.00485291821763848
TCERG1L	0.0385788078677431
R3HDML	0.00223122489046836
ATP8B4	0.00796101420991103
ZNF90	0.172443150178331
GUCA1B	0.00290998806203136
TMEM245	0.161504681756162
ZNF573	0.00196653207976049
CTSL	0.0689487917751135
UNKL	0.037004482751871
ZNF576	0.00110450556156862
AP1M1	0.0400256688949849
GALNT16	0.000204934193058842
CHD8	0.0290317091167815
INPP1	0.0484095049368898
TRIM47	0.228016426170496
AICDA	0.00180817729542565
FOXF2	0.000690130079940689
LPCAT4	0.0105001965350418
YIPF7	0.00826983249913427
ABHD6	0
KCNT2	0
TMEM8A	0.00203342338756367
RP11-45M22.4	0.033710894251164
GTF2H2	0.127437359033909
MRPL41	0.081281803277342
ABHD17C	0.00687729763399437
RSL1D1	0.0534199953135917
GRAMD1B	0.000533882985587089
CCDC163P	0.00654676367789769
ESYT3	0
SAMD7	0.00184846215371854
PRDM9	0.000558372528056529
SYBU	0
KLRF2	0.0025213694485953
CS	0.0156821432691331
DYRK2	0.00785491497374457
MIF4GD	0.000351993390039545
TTC32	0.049440635631732
DIAPH3	0.00759262900707722
RPAP3	0.0503600140278663
TNPO1	0.276480621568157
DNASE1L1	0.00168835060754779
CXorf58	0.0059485681563303
AKT1	0.0240787511652823
WDR17	0.00583387647809259
NTN5	0.00312837007192188
SH3RF2	0.00341516634849846
RRAS	0.00196296196242166
LRRC52	0.00182721076622628
DCPS	0
TTPAL	0.043968707727966
RANBP9	0.0485456377527718
BCAT1	0
TNFSF12	0.00152196876594305
SRPX	0.00485291821763848
COX7A1	0.00858007208993247
PLAC8	0.0075915502305466
TLR8	0.00110450556156862
SPIN4	0
SF3B1	0.151444150981092
TOP2A	0.00442448833159398
KLHL4	0.202570396557532
SIK2	0.308135312005046
DNAH11	0.0772738149966785
NTF3	0.00265689327904935
GIF	0.00529799555448421
LCOR	0.329127026838823
FBXL16	0.00188127589421049
AC005943.2	0.00625344291776109
MGAT2	0.00876316588867339
XRCC6	0.0796967003814257
APELA	0.0012555546609285
ZBTB12	0.000690130079940689
C9	0.00455127711984761
SYT10	0
RXRG	0.0117517536566702
SLC38A9	0.0176610866890864
PRPH2	0
SLAIN2	0.0151174898579481
OCM2	0.002230977551483
INTS7	0.0141442564052713
BAG3	0.0128321105993404
NBEA	0.431359271114831
MBOAT2	0.0969477076685532
ATP5G2	0.241636497138142
SLC9B1	0
CORO2B	0.236831322016762
SUV39H1	0.018495915717496
NCOA2	0.202399794755504
C21orf33	0.0449870414045151
GPHN	0
DRC1	0.00226462906659537
TMEM258	0.361275966522697
ABCA10	0.00624181696894067
ARFIP2	0.0321712698471701
USO1	0
STK25	0.0634648026998835
ANKRD50	0.017289162777939
RASGRP4	0
EXOC7	0
TADA1	0.00592082926053022
FAM205C	0.00152196876594305
BLNK	0
ONECUT1	0.00383245242237951
GALC	0.0496121820542357
AKAP10	0.0566288035778462
MFSD8	0
TMEM133	0.00180842282134368
DMP1	0.000690130079940689
GDI2	0.142322278855808
VENTX	0.00265689327904935
APOH	0.00113652700682387
ZFP64	0.0187454781682256
PHC3	0.0927915860324931
CA14	0
PDCD11	0.0151868196852875
SVBP	0.0321090950573874
OFCC1	0.0153445775923167
FAM86B2	0.00381428219205924
ZCRB1	0.0163070392296978
IARS	0.0261073574107257
ATP5S	0.00236012291132489
SLC27A5	0.00897221335113489
C1orf50	0.0369677660919151
HDAC10	0.0012555546609285
SMYD2	0
C9orf92	0.000559333139071144
EPM2AIP1	0
MRPL21	0.00790354035635242
MYLK	0.0408307063029939
PSG1	0
CFAP97	0.0412405179568288
CACTIN	0.0158992208696828
ZNF582	0.009827489094912
TRIM26	0
SCO1	0.0179973024289171
ZNF337	0.0339655467272681
IKBKE	0.00014912905300809
CIDEC	0.000148652334648825
CLEC4A	0.00140652286784831
CDH7	0.00328884569008957
LSM4	0.0677006034003804
NAAA	0
OTUD1	0.0252713438746729
